,sample_index,weighted_binary_cross_entropy,acc,se,sp,f1,prc,auroc,ap
0,0,0.20290406048297882,0.9649658203125,0.8854229154169166,0.9727393784075777,0.8181818181818182,0.7604327666151468,0.9884025260581555,0.9101253047414064
1,1,0.1917605847120285,0.9678726196289062,0.8247395833333333,0.9842262309575626,0.840371493555724,0.8566074188562597,0.9887718825693841,0.9301394379545247
2,2,0.20903274416923523,0.9607200622558594,0.7946089160234996,0.9790428672474916,0.8007739189319919,0.807035332657359,0.9733537160781663,0.8888954055052452
3,3,0.19970165193080902,0.9686622619628906,0.8071928071928072,0.9849529648916513,0.8252090470010001,0.8440478781284004,0.9810495607058264,0.9075033396741161
4,4,0.20464040338993073,0.9654769897460938,0.7899882357713683,0.9836921509265536,0.8114504771032126,0.8341114490084379,0.9791750423290659,0.897060803175326
5,5,0.20728160440921783,0.962982177734375,0.772923197492163,0.9834801203597269,0.8025796476380356,0.8346026910383346,0.9734029649316266,0.8893893907471264
6,6,0.20243680477142334,0.9673805236816406,0.7971590673789705,0.9846510670302567,0.8182533103785415,0.840494279975548,0.9819187867655902,0.9038857891180969
7,7,0.2072758674621582,0.9668083190917969,0.800645931955935,0.9824873403717944,0.8061922263058247,0.8118158980800287,0.9773791177038879,0.8914840894067704
8,8,0.2081129252910614,0.9677238464355469,0.8328078678650417,0.9796258089691273,0.8070775474838681,0.7828894983632664,0.9773674510645777,0.8885505779350307
9,9,0.20724806189537048,0.9653434753417969,0.8449814126394052,0.9761079526564266,0.8001232041889424,0.7597877407763339,0.9814603716559066,0.8935115200590555
10,10,0.20692172646522522,0.9632377624511719,0.8115062403829715,0.9781066228827048,0.7975802894410721,0.7841242307851154,0.9808593280579898,0.8903979403288491
11,11,0.19958212971687317,0.96807861328125,0.8584584052773719,0.9784143231047309,0.8225163315517096,0.7894629697487887,0.9873653112199579,0.9130816256828653
12,12,0.2016994059085846,0.9645538330078125,0.8046021689275858,0.9819598421433315,0.8166969147005445,0.8291608251552173,0.9816165420848972,0.9048875319827805
13,13,0.20232754945755005,0.9683303833007812,0.865970205190668,0.9774042973778851,0.8166195440890617,0.7725904873359525,0.9871134621586665,0.9088751801313728
14,14,0.21185287833213806,0.9685134887695312,0.8819722979838494,0.975160713918955,0.7998448033367282,0.7317094813434492,0.9876142521626387,0.8938155283453483
15,15,0.20045670866966248,0.9680023193359375,0.8432838974098956,0.9803796592543516,0.8263497846969196,0.810082396395665,0.9882826716813513,0.9126579830516459
16,16,0.20783594250679016,0.9659996032714844,0.8315141714953062,0.9784809968275937,0.805973398349914,0.7819548872180451,0.9854553987242424,0.8944070261971395
17,17,0.20636700093746185,0.9671401977539062,0.8863537487310872,0.9740616341626045,0.8097866890429714,0.7453961543152161,0.9892731229879109,0.9053882826629298
18,18,0.1912301778793335,0.970947265625,0.9136351140841199,0.976152431361779,0.8396564065855404,0.7767606731068869,0.9914778081386766,0.9371468836351
19,19,0.21422472596168518,0.9644508361816406,0.9013603682822118,0.9694742000980187,0.7890244730705667,0.7015862790884935,0.9885706995067484,0.8939927865441735
