,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
0,encoder_0.double_conv.conv_block_1.conv.conv_h2h,"[  3,512,512]","[ 64,512,512]",1792,64.00,"905,969,664","469,762,048",3152896,67108864,0.030344009399414062,1.93%,70261760
1,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 64,512,512]","[ 64,512,512]",128,64.00,"67,108,864","33,554,432",67109376,67108864,0.04871368408203125,3.09%,134218240
2,encoder_0.double_conv.conv_block_1.act_fn.relu_h2h,"[ 64,512,512]","[ 64,512,512]",0,64.00,"16,777,216","16,777,216",67108864,67108864,0.0041429996490478516,0.26%,134217728
3,encoder_0.double_conv.conv_block_2.conv.conv_h2h,"[ 64,512,512]","[ 64,512,512]",36928,64.00,"19,327,352,832","9,680,453,632",67256576,67108864,0.07085490226745605,4.50%,134365440
4,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 64,512,512]","[ 64,512,512]",128,64.00,"67,108,864","33,554,432",67109376,67108864,0.04420971870422363,2.81%,134218240
5,encoder_0.double_conv.conv_block_2.act_fn.relu_h2h,"[ 64,512,512]","[ 64,512,512]",0,64.00,"16,777,216","16,777,216",67108864,67108864,0.00422978401184082,0.27%,134217728
6,encoder_1.downsample.avg_pool_h2h,"[ 64,512,512]","[ 64,256,256]",0,16.00,"16,777,216","16,777,216",67108864,16777216,0.004792690277099609,0.30%,83886080
7,encoder_1.double_conv.conv_block_1.conv.conv_h2h,"[ 64,256,256]","[128,256,256]",73856,32.00,"9,663,676,416","4,840,226,816",17072640,33554432,0.032622575759887695,2.07%,50627072
8,encoder_1.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[128,256,256]","[128,256,256]",256,32.00,"33,554,432","16,777,216",33555456,33554432,0.02203965187072754,1.40%,67109888
9,encoder_1.double_conv.conv_block_1.act_fn.relu_h2h,"[128,256,256]","[128,256,256]",0,32.00,"8,388,608","8,388,608",33554432,33554432,0.002163410186767578,0.14%,67108864
10,encoder_1.double_conv.conv_block_2.conv.conv_h2h,"[128,256,256]","[128,256,256]",147584,32.00,"19,327,352,832","9,672,065,024",34144768,33554432,0.0532379150390625,3.38%,67699200
11,encoder_1.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[128,256,256]","[128,256,256]",256,32.00,"33,554,432","16,777,216",33555456,33554432,0.02194690704345703,1.39%,67109888
12,encoder_1.double_conv.conv_block_2.act_fn.relu_h2h,"[128,256,256]","[128,256,256]",0,32.00,"8,388,608","8,388,608",33554432,33554432,0.0021703243255615234,0.14%,67108864
13,encoder_2.downsample.avg_pool_h2h,"[128,256,256]","[128,128,128]",0,8.00,"8,388,608","8,388,608",33554432,8388608,0.002226114273071289,0.14%,41943040
14,encoder_2.double_conv.conv_block_1.conv.conv_h2h,"[128,128,128]","[256,128,128]",295168,16.00,"9,663,676,416","4,836,032,512",9569280,16777216,0.025171995162963867,1.60%,26346496
15,encoder_2.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[256,128,128]","[256,128,128]",512,16.00,"16,777,216","8,388,608",16779264,16777216,0.01030111312866211,0.65%,33556480
16,encoder_2.double_conv.conv_block_1.act_fn.relu_h2h,"[256,128,128]","[256,128,128]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0011258125305175781,0.07%,33554432
17,encoder_2.double_conv.conv_block_2.conv.conv_h2h,"[256,128,128]","[256,128,128]",590080,16.00,"19,327,352,832","9,667,870,720",19137536,16777216,0.04420065879821777,2.80%,35914752
18,encoder_2.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[256,128,128]","[256,128,128]",512,16.00,"16,777,216","8,388,608",16779264,16777216,0.011020660400390625,0.70%,33556480
19,encoder_2.double_conv.conv_block_2.act_fn.relu_h2h,"[256,128,128]","[256,128,128]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0011420249938964844,0.07%,33554432
20,encoder_3.downsample.avg_pool_h2h,"[256,128,128]","[256, 64, 64]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0009109973907470703,0.06%,20971520
21,encoder_3.double_conv.conv_block_1.conv.conv_h2h,"[256, 64, 64]","[512, 64, 64]",1180160,8.00,"9,663,676,416","4,833,935,360",8914944,8388608,0.021775007247924805,1.38%,17303552
22,encoder_3.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[512, 64, 64]","[512, 64, 64]",1024,8.00,"8,388,608","4,194,304",8392704,8388608,0.005625009536743164,0.36%,16781312
23,encoder_3.double_conv.conv_block_1.act_fn.relu_h2h,"[512, 64, 64]","[512, 64, 64]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0006270408630371094,0.04%,16777216
24,encoder_3.double_conv.conv_block_2.conv.conv_h2h,"[512, 64, 64]","[512, 64, 64]",2359808,8.00,"19,327,352,832","9,665,773,568",17827840,8388608,0.04164576530456543,2.64%,26216448
25,encoder_3.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[512, 64, 64]","[512, 64, 64]",1024,8.00,"8,388,608","4,194,304",8392704,8388608,0.005464315414428711,0.35%,16781312
26,encoder_3.double_conv.conv_block_2.act_fn.relu_h2h,"[512, 64, 64]","[512, 64, 64]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0006284713745117188,0.04%,16777216
27,encoder_4.downsample.avg_pool_h2h,"[512, 64, 64]","[512, 32, 32]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0005006790161132812,0.03%,10485760
28,encoder_4.double_conv.conv_block_1.conv.conv_h2h,"[512, 32, 32]","[512, 32, 32]",2359808,2.00,"4,831,838,208","2,416,443,392",11536384,2097152,0.011327505111694336,0.72%,13633536
29,encoder_4.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[512, 32, 32]","[512, 32, 32]",1024,2.00,"2,097,152","1,048,576",2101248,2097152,0.0005292892456054688,0.03%,4198400
30,encoder_4.double_conv.conv_block_1.act_fn.relu_h2h,"[512, 32, 32]","[512, 32, 32]",0,2.00,"524,288","524,288",2097152,2097152,0.0001316070556640625,0.01%,4194304
31,encoder_4.double_conv.conv_block_2.conv.conv_h2h,"[512, 32, 32]","[512, 32, 32]",2359808,2.00,"4,831,838,208","2,416,443,392",11536384,2097152,0.010576725006103516,0.67%,13633536
32,encoder_4.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[512, 32, 32]","[512, 32, 32]",1024,2.00,"2,097,152","1,048,576",2101248,2097152,0.0004756450653076172,0.03%,4198400
33,encoder_4.double_conv.conv_block_2.act_fn.relu_h2h,"[512, 32, 32]","[512, 32, 32]",0,2.00,"524,288","524,288",2097152,2097152,0.0003306865692138672,0.02%,4194304
34,decoder_4.upsample.conv_transp.conv_transposed_h2h,"[512, 32, 32]","[512, 64, 64]",2359808,8.00,"4,831,838,208","2,416,443,392",11536384,8388608,0.026552915573120117,1.68%,19924992
35,decoder_4.upsample.batch_norm.batch_norm_h2h,"[512, 64, 64]","[512, 64, 64]",1024,8.00,"8,388,608","4,194,304",8392704,8388608,0.005132913589477539,0.33%,16781312
36,decoder_4.upsample.act_fn.relu_h2h,"[512, 64, 64]","[512, 64, 64]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0006685256958007812,0.04%,16777216
37,decoder_4.oct_concat.concat,"[512, 64, 64]","[1024, 64, 64]",0,16.00,0,0,0,0,0.010779142379760742,0.68%,0
38,decoder_4.double_conv.conv_block_1.conv.conv_h2h,"[1024, 64, 64]","[256, 64, 64]",2359552,4.00,"19,327,352,832","9,664,724,992",26215424,4194304,0.04176187515258789,2.65%,30409728
39,decoder_4.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[256, 64, 64]","[256, 64, 64]",512,4.00,"4,194,304","2,097,152",4196352,4194304,0.0008809566497802734,0.06%,8390656
40,decoder_4.double_conv.conv_block_1.act_fn.relu_h2h,"[256, 64, 64]","[256, 64, 64]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00039696693420410156,0.03%,8388608
41,decoder_4.double_conv.conv_block_2.conv.conv_h2h,"[256, 64, 64]","[256, 64, 64]",590080,4.00,"4,831,838,208","2,416,967,680",6554624,4194304,0.011726856231689453,0.74%,10748928
42,decoder_4.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[256, 64, 64]","[256, 64, 64]",512,4.00,"4,194,304","2,097,152",4196352,4194304,0.002726316452026367,0.17%,8390656
43,decoder_4.double_conv.conv_block_2.act_fn.relu_h2h,"[256, 64, 64]","[256, 64, 64]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0003914833068847656,0.02%,8388608
44,decoder_3.upsample.conv_transp.conv_transposed_h2h,"[256, 64, 64]","[256,128,128]",590080,16.00,"4,831,838,208","2,416,967,680",6554624,16777216,0.040158748626708984,2.55%,23331840
45,decoder_3.upsample.batch_norm.batch_norm_h2h,"[256,128,128]","[256,128,128]",512,16.00,"16,777,216","8,388,608",16779264,16777216,0.010641098022460938,0.68%,33556480
46,decoder_3.upsample.act_fn.relu_h2h,"[256,128,128]","[256,128,128]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0011599063873291016,0.07%,33554432
47,decoder_3.oct_concat.concat,"[256,128,128]","[512,128,128]",0,32.00,0,0,0,0,0.021205425262451172,1.35%,0
48,decoder_3.double_conv.conv_block_1.conv.conv_h2h,"[512,128,128]","[128,128,128]",589952,8.00,"19,327,352,832","9,665,773,568",35914240,8388608,0.043186187744140625,2.74%,44302848
49,decoder_3.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[128,128,128]","[128,128,128]",256,8.00,"8,388,608","4,194,304",8389632,8388608,0.00545954704284668,0.35%,16778240
50,decoder_3.double_conv.conv_block_1.act_fn.relu_h2h,"[128,128,128]","[128,128,128]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0006041526794433594,0.04%,16777216
51,decoder_3.double_conv.conv_block_2.conv.conv_h2h,"[128,128,128]","[128,128,128]",147584,8.00,"4,831,838,208","2,418,016,256",8978944,8388608,0.012693166732788086,0.81%,17367552
52,decoder_3.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[128,128,128]","[128,128,128]",256,8.00,"8,388,608","4,194,304",8389632,8388608,0.005448102951049805,0.35%,16778240
53,decoder_3.double_conv.conv_block_2.act_fn.relu_h2h,"[128,128,128]","[128,128,128]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0006117820739746094,0.04%,16777216
54,decoder_2.upsample.conv_transp.conv_transposed_h2h,"[128,128,128]","[128,256,256]",147584,32.00,"4,831,838,208","2,418,016,256",8978944,33554432,0.07184529304504395,4.56%,42533376
55,decoder_2.upsample.batch_norm.batch_norm_h2h,"[128,256,256]","[128,256,256]",256,32.00,"33,554,432","16,777,216",33555456,33554432,0.02137470245361328,1.36%,67109888
56,decoder_2.upsample.act_fn.relu_h2h,"[128,256,256]","[128,256,256]",0,32.00,"8,388,608","8,388,608",33554432,33554432,0.0022003650665283203,0.14%,67108864
57,decoder_2.oct_concat.concat,"[128,256,256]","[256,256,256]",0,64.00,0,0,0,0,0.04907560348510742,3.11%,0
58,decoder_2.double_conv.conv_block_1.conv.conv_h2h,"[256,256,256]","[ 64,256,256]",147520,16.00,"19,327,352,832","9,667,870,720",67698944,16777216,0.0476987361907959,3.03%,84476160
59,decoder_2.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 64,256,256]","[ 64,256,256]",128,16.00,"16,777,216","8,388,608",16777728,16777216,0.010723590850830078,0.68%,33554944
60,decoder_2.double_conv.conv_block_1.act_fn.relu_h2h,"[ 64,256,256]","[ 64,256,256]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0011241436004638672,0.07%,33554432
61,decoder_2.double_conv.conv_block_2.conv.conv_h2h,"[ 64,256,256]","[ 64,256,256]",36928,16.00,"4,831,838,208","2,420,113,408",16924928,16777216,0.015179872512817383,0.96%,33702144
62,decoder_2.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 64,256,256]","[ 64,256,256]",128,16.00,"16,777,216","8,388,608",16777728,16777216,0.010719060897827148,0.68%,33554944
63,decoder_2.double_conv.conv_block_2.act_fn.relu_h2h,"[ 64,256,256]","[ 64,256,256]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0011265277862548828,0.07%,33554432
64,decoder_1.upsample.conv_transp.conv_transposed_h2h,"[ 64,256,256]","[ 64,512,512]",36928,64.00,"4,831,838,208","2,420,113,408",16924928,67108864,0.1454319953918457,9.23%,84033792
65,decoder_1.upsample.batch_norm.batch_norm_h2h,"[ 64,512,512]","[ 64,512,512]",128,64.00,"67,108,864","33,554,432",67109376,67108864,0.04210162162780762,2.67%,134218240
66,decoder_1.upsample.act_fn.relu_h2h,"[ 64,512,512]","[ 64,512,512]",0,64.00,"16,777,216","16,777,216",67108864,67108864,0.0042383670806884766,0.27%,134217728
67,decoder_1.oct_concat.concat,"[ 64,512,512]","[128,512,512]",0,128.00,0,0,0,0,0.09062075614929199,5.75%,0
68,decoder_1.double_conv.conv_block_1.conv.conv_h2h,"[128,512,512]","[ 64,512,512]",73792,64.00,"38,654,705,664","19,344,130,048",134512896,67108864,0.11101102828979492,7.04%,201621760
69,decoder_1.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 64,512,512]","[ 64,512,512]",128,64.00,"67,108,864","33,554,432",67109376,67108864,0.0427241325378418,2.71%,134218240
70,decoder_1.double_conv.conv_block_1.act_fn.relu_h2h,"[ 64,512,512]","[ 64,512,512]",0,64.00,"16,777,216","16,777,216",67108864,67108864,0.004636049270629883,0.29%,134217728
71,decoder_1.double_conv.conv_block_2.conv.conv_h2h,"[ 64,512,512]","[ 64,512,512]",36928,64.00,"19,327,352,832","9,680,453,632",67256576,67108864,0.06695222854614258,4.25%,134365440
72,decoder_1.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 64,512,512]","[ 64,512,512]",128,64.00,"67,108,864","33,554,432",67109376,67108864,0.04332423210144043,2.75%,134218240
73,decoder_1.double_conv.conv_block_2.act_fn.relu_h2h,"[ 64,512,512]","[ 64,512,512]",0,64.00,"16,777,216","16,777,216",67108864,67108864,0.004601240158081055,0.29%,134217728
