,sample_index,weighted_binary_cross_entropy,acc,se,sp,f1,prc,auroc,ap
0,0,0.290933221578598,0.9612846374511719,0.8932642043019967,0.9679321290084839,0.804235865979978,0.731345378003859,0.9873671966874001,0.9013085521986977
1,1,0.27659228444099426,0.966217041015625,0.8384300595238096,0.9808172946137106,0.8357871314667161,0.8331608133086876,0.9851867682897115,0.9213942658567815
2,2,0.29309043288230896,0.957489013671875,0.8133087585915602,0.9733927429362857,0.7917242926026987,0.7712558715362487,0.9776256274294518,0.8810995874845862
3,3,0.2873799204826355,0.9667205810546875,0.8205960705960706,0.9814631278347052,0.8188237248712411,0.8170590185676393,0.9767423557705244,0.8973572856658842
4,4,0.2900545001029968,0.9638900756835938,0.8035373818506348,0.9805341631121759,0.8071390733873925,0.8107731979861651,0.9751066029511065,0.8889044991752868
5,5,0.2921721041202545,0.9609260559082031,0.789576802507837,0.979406146460207,0.7973408780642225,0.8052591615713544,0.9711473294914028,0.8821651706066908
6,6,0.2918902039527893,0.9637985229492188,0.7972418934029072,0.9806972356794413,0.8022587097849642,0.8073390647934577,0.9738399684532302,0.8854721164026738
7,7,0.2980523109436035,0.9624710083007812,0.820245100207937,0.9758913922877503,0.7903150176904387,0.7624922887106724,0.9759744502534835,0.8761347464091381
8,8,0.29927560687065125,0.9638290405273438,0.8353018681473813,0.975167397973374,0.7892139427351947,0.7479458981165465,0.9725392269807844,0.8753367553510176
9,9,0.2964397370815277,0.9627952575683594,0.85,0.9728830041891083,0.7895202537928653,0.7370753918684773,0.9797480918609447,0.8853639995386141
10,10,0.29510584473609924,0.9602622985839844,0.8208240724910241,0.9739264831537856,0.7866461853558627,0.7552007550434543,0.976266517114013,0.8790651731568248
11,11,0.2909870445728302,0.9635810852050781,0.8672687829282331,0.9726620386797297,0.8040636223704464,0.7494452521233453,0.9838686474382168,0.8995183243341645
12,12,0.28825366497039795,0.9616889953613281,0.8178567263963928,0.9773408849617413,0.8073285371702638,0.7970679596939162,0.9776163282901211,0.8929423001391058
13,13,0.2960888147354126,0.9628639221191406,0.8736531434460789,0.9707721824932101,0.7930176684455595,0.7260092653871608,0.9841710494264337,0.8927357403762214
14,14,0.3087816536426544,0.959869384765625,0.8911706508369431,0.965146131569759,0.7600802773216566,0.6626108393971928,0.9834364486430442,0.8778292767181675
15,15,0.288680762052536,0.9657058715820312,0.8482697426796806,0.977360500174021,0.8170607626877213,0.7880667320902845,0.9849503620889828,0.9030493318853021
16,16,0.29893195629119873,0.962646484375,0.8298971387503931,0.9749667543490314,0.7905185692281362,0.7547077325272661,0.9762950970915569,0.8755074447958086
17,17,0.2986382842063904,0.9623146057128906,0.8897375163145937,0.9685326994040346,0.7884174680345248,0.7078141824334718,0.986781572181187,0.8917639229170469
18,18,0.28081703186035156,0.9667701721191406,0.9208283698341427,0.9709426676320542,0.8218864375242808,0.7421439385547063,0.9901568744209366,0.933220718052863
19,19,0.3045843243598938,0.9610023498535156,0.9094811979516888,0.9651045463343918,0.7747692172112186,0.6748157813939207,0.9873872629249951,0.8872734154134938
