,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
138,decoder_3.upsample.batch_norm.batch_norm_h2h,"[ 64,128,128]","[ 64,128,128]",128,4.00,"4,194,304","2,097,152",4194816,4194304,0.0028562545776367188,0.37%,8389120
139,decoder_3.upsample.batch_norm.batch_norm_l2l,"[192, 64, 64]","[192, 64, 64]",384,3.00,"3,145,728","1,572,864",3147264,3145728,0.000759124755859375,0.10%,6292992
140,decoder_3.upsample.act_fn.relu_h2h,"[ 64,128,128]","[ 64,128,128]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00047969818115234375,0.06%,8388608
141,decoder_3.upsample.act_fn.relu_l2l,"[192, 64, 64]","[192, 64, 64]",0,3.00,"786,432","786,432",3145728,3145728,0.0001201629638671875,0.02%,6291456
142,decoder_3.oct_concat.concat,"[192, 64, 64]","[384, 64, 64]",0,6.00,0,0,0,0,0.00406193733215332,0.52%,0
143,decoder_3.double_conv.conv_block_1.conv.conv_h2h,"[128,128,128]","[ 32,128,128]",36896,2.00,"1,207,959,552","604,504,064",8536192,2097152,0.0043947696685791016,0.56%,10633344
144,decoder_3.double_conv.conv_block_1.conv.conv_l2l,"[384, 64, 64]","[ 96, 64, 64]",331872,1.50,"2,717,908,992","1,359,347,712",7618944,1572864,0.006981372833251953,0.89%,9191808
145,decoder_3.double_conv.conv_block_1.conv.downsample_h2l,"[128,128,128]","[128, 64, 64]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0004699230194091797,0.06%,10485760
146,decoder_3.double_conv.conv_block_1.conv.conv_h2l,"[128, 64, 64]","[ 96, 64, 64]",110688,1.50,"905,969,664","453,378,048",2539904,1572864,0.002936124801635742,0.38%,4112768
147,decoder_3.double_conv.conv_block_1.conv.conv_l2h,"[384, 64, 64]","[ 32, 64, 64]",110624,0.50,"905,969,664","453,115,904",6733952,524288,0.004040241241455078,0.52%,7258240
148,decoder_3.double_conv.conv_block_1.conv.upsample_l2h,"[ 32, 64, 64]","[ 32,128,128]",0,2.00,0,"16,384",0,0,0.0022614002227783203,0.29%,0
149,decoder_3.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 32,128,128]","[ 32,128,128]",64,2.00,"2,097,152","1,048,576",2097408,2097152,0.000579833984375,0.07%,4194560
150,decoder_3.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 96, 64, 64]","[ 96, 64, 64]",192,1.50,"1,572,864","786,432",1573632,1572864,0.0004086494445800781,0.05%,3146496
151,decoder_3.double_conv.conv_block_1.act_fn.relu_h2h,"[ 32,128,128]","[ 32,128,128]",0,2.00,"524,288","524,288",2097152,2097152,0.0003685951232910156,0.05%,4194304
152,decoder_3.double_conv.conv_block_1.act_fn.relu_l2l,"[ 96, 64, 64]","[ 96, 64, 64]",0,1.50,"393,216","393,216",1572864,1572864,0.0002663135528564453,0.03%,3145728
153,decoder_3.double_conv.conv_block_2.conv.conv_h2h,"[ 32,128,128]","[ 32,128,128]",9248,2.00,"301,989,888","151,519,232",2134144,2097152,0.00226593017578125,0.29%,4231296
154,decoder_3.double_conv.conv_block_2.conv.conv_l2l,"[ 96, 64, 64]","[ 96, 64, 64]",83040,1.50,"679,477,248","340,131,840",1905024,1572864,0.0027227401733398438,0.35%,3477888
155,decoder_3.double_conv.conv_block_2.conv.downsample_h2l,"[ 32,128,128]","[ 32, 64, 64]",0,0.50,"524,288","524,288",2097152,524288,0.000179290771484375,0.02%,2621440
156,decoder_3.double_conv.conv_block_2.conv.conv_h2l,"[ 32, 64, 64]","[ 96, 64, 64]",27744,1.50,"226,492,416","113,639,424",635264,1572864,0.0025742053985595703,0.33%,2208128
157,decoder_3.double_conv.conv_block_2.conv.conv_l2h,"[ 96, 64, 64]","[ 32, 64, 64]",27680,0.50,"226,492,416","113,377,280",1683584,524288,0.001664876937866211,0.21%,2207872
158,decoder_3.double_conv.conv_block_2.conv.upsample_l2h,"[ 32, 64, 64]","[ 32,128,128]",0,2.00,0,"16,384",0,0,0.002466917037963867,0.32%,0
159,decoder_3.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 32,128,128]","[ 32,128,128]",64,2.00,"2,097,152","1,048,576",2097408,2097152,0.0014865398406982422,0.19%,4194560
160,decoder_3.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 96, 64, 64]","[ 96, 64, 64]",192,1.50,"1,572,864","786,432",1573632,1572864,0.0004017353057861328,0.05%,3146496
161,decoder_3.double_conv.conv_block_2.act_fn.relu_h2h,"[ 32,128,128]","[ 32,128,128]",0,2.00,"524,288","524,288",2097152,2097152,0.0003058910369873047,0.04%,4194304
162,decoder_3.double_conv.conv_block_2.act_fn.relu_l2l,"[ 96, 64, 64]","[ 96, 64, 64]",0,1.50,"393,216","393,216",1572864,1572864,6.413459777832031e-05,0.01%,3145728
163,decoder_2.upsample.conv_transp.conv_transposed_h2h,"[ 32,128,128]","[ 32,256,256]",9248,8.00,"301,989,888","151,519,232",2134144,8388608,0.018998146057128906,2.43%,10522752
164,decoder_2.upsample.conv_transp.conv_transposed_l2l,"[ 96, 64, 64]","[ 96,128,128]",83040,6.00,"679,477,248","340,131,840",1905024,6291456,0.00951075553894043,1.22%,8196480
165,decoder_2.upsample.conv_transp.conv_transposed_h2l,"[ 32, 64, 64]","[ 96,128,128]",27744,6.00,"226,492,416","113,639,424",635264,6291456,0.01097726821899414,1.40%,6926720
166,decoder_2.upsample.conv_transp.conv_transposed_l2h,"[ 96, 64, 64]","[ 32,128,128]",27680,2.00,"226,492,416","113,377,280",1683584,2097152,0.0032105445861816406,0.41%,3780736
167,decoder_2.upsample.batch_norm.batch_norm_h2h,"[ 32,256,256]","[ 32,256,256]",64,8.00,"8,388,608","4,194,304",8388864,8388608,0.005636692047119141,0.72%,16777472
168,decoder_2.upsample.batch_norm.batch_norm_l2l,"[ 96,128,128]","[ 96,128,128]",192,6.00,"6,291,456","3,145,728",6292224,6291456,0.001531839370727539,0.20%,12583680
169,decoder_2.upsample.act_fn.relu_h2h,"[ 32,256,256]","[ 32,256,256]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0007636547088623047,0.10%,16777216
170,decoder_2.upsample.act_fn.relu_l2l,"[ 96,128,128]","[ 96,128,128]",0,6.00,"1,572,864","1,572,864",6291456,6291456,0.0003097057342529297,0.04%,12582912
171,decoder_2.oct_concat.concat,"[ 96,128,128]","[192,128,128]",0,12.00,0,0,0,0,0.008088111877441406,1.03%,0
172,decoder_2.double_conv.conv_block_1.conv.conv_h2h,"[ 64,256,256]","[ 16,256,256]",9232,4.00,"1,207,959,552","605,028,352",16814144,4194304,0.005118131637573242,0.65%,21008448
173,decoder_2.double_conv.conv_block_1.conv.conv_l2l,"[192,128,128]","[ 48,128,128]",82992,3.00,"2,717,908,992","1,359,740,928",12914880,3145728,0.00836634635925293,1.07%,16060608
174,decoder_2.double_conv.conv_block_1.conv.downsample_h2l,"[ 64,256,256]","[ 64,128,128]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0009157657623291016,0.12%,20971520
175,decoder_2.double_conv.conv_block_1.conv.conv_h2l,"[ 64,128,128]","[ 48,128,128]",27696,3.00,"905,969,664","453,771,264",4305088,3145728,0.0035419464111328125,0.45%,7450816
176,decoder_2.double_conv.conv_block_1.conv.conv_l2h,"[192,128,128]","[ 16,128,128]",27664,1.00,"905,969,664","453,246,976",12693568,1048576,0.005741596221923828,0.73%,13742144
177,decoder_2.double_conv.conv_block_1.conv.upsample_l2h,"[ 16,128,128]","[ 16,256,256]",0,4.00,0,"65,536",0,0,0.005068063735961914,0.65%,0
178,decoder_2.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 16,256,256]","[ 16,256,256]",32,4.00,"4,194,304","2,097,152",4194432,4194304,0.002852201461791992,0.36%,8388736
179,decoder_2.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 48,128,128]","[ 48,128,128]",96,3.00,"3,145,728","1,572,864",3146112,3145728,0.0007913112640380859,0.10%,6291840
180,decoder_2.double_conv.conv_block_1.act_fn.relu_h2h,"[ 16,256,256]","[ 16,256,256]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0004715919494628906,0.06%,8388608
181,decoder_2.double_conv.conv_block_1.act_fn.relu_l2l,"[ 48,128,128]","[ 48,128,128]",0,3.00,"786,432","786,432",3145728,3145728,9.679794311523438e-05,0.01%,6291456
182,decoder_2.double_conv.conv_block_2.conv.conv_h2h,"[ 16,256,256]","[ 16,256,256]",2320,4.00,"301,989,888","152,043,520",4203584,4194304,0.0027513504028320312,0.35%,8397888
183,decoder_2.double_conv.conv_block_2.conv.conv_l2l,"[ 48,128,128]","[ 48,128,128]",20784,3.00,"679,477,248","340,525,056",3228864,3145728,0.003372669219970703,0.43%,6374592
184,decoder_2.double_conv.conv_block_2.conv.downsample_h2l,"[ 16,256,256]","[ 16,128,128]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.0003314018249511719,0.04%,5242880
185,decoder_2.double_conv.conv_block_2.conv.conv_h2l,"[ 16,128,128]","[ 48,128,128]",6960,3.00,"226,492,416","114,032,640",1076416,3145728,0.0034837722778320312,0.45%,4222144
186,decoder_2.double_conv.conv_block_2.conv.conv_l2h,"[ 48,128,128]","[ 16,128,128]",6928,1.00,"226,492,416","113,508,352",3173440,1048576,0.001811981201171875,0.23%,4222016
187,decoder_2.double_conv.conv_block_2.conv.upsample_l2h,"[ 16,128,128]","[ 16,256,256]",0,4.00,0,"65,536",0,0,0.005114555358886719,0.65%,0
188,decoder_2.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 16,256,256]","[ 16,256,256]",32,4.00,"4,194,304","2,097,152",4194432,4194304,0.002907276153564453,0.37%,8388736
189,decoder_2.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 48,128,128]","[ 48,128,128]",96,3.00,"3,145,728","1,572,864",3146112,3145728,0.0007529258728027344,0.10%,6291840
190,decoder_2.double_conv.conv_block_2.act_fn.relu_h2h,"[ 16,256,256]","[ 16,256,256]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0004718303680419922,0.06%,8388608
191,decoder_2.double_conv.conv_block_2.act_fn.relu_l2l,"[ 48,128,128]","[ 48,128,128]",0,3.00,"786,432","786,432",3145728,3145728,0.0001125335693359375,0.01%,6291456
192,decoder_1.upsample.conv_transp.conv_transposed_h2h,"[ 16,256,256]","[ 16,512,512]",2320,16.00,"301,989,888","152,043,520",4203584,16777216,0.036921024322509766,4.72%,20980800
193,decoder_1.upsample.conv_transp.conv_transposed_l2l,"[ 48,128,128]","[ 48,256,256]",20784,12.00,"679,477,248","340,525,056",3228864,12582912,0.023685455322265625,3.03%,15811776
194,decoder_1.upsample.conv_transp.conv_transposed_h2l,"[ 16,128,128]","[ 48,256,256]",6960,12.00,"226,492,416","114,032,640",1076416,12582912,0.02352738380432129,3.01%,13659328
195,decoder_1.upsample.conv_transp.conv_transposed_l2h,"[ 48,128,128]","[ 16,256,256]",6928,4.00,"226,492,416","113,508,352",3173440,4194304,0.00638270378112793,0.82%,7367744
196,decoder_1.upsample.batch_norm.batch_norm_h2h,"[ 16,512,512]","[ 16,512,512]",32,16.00,"16,777,216","8,388,608",16777344,16777216,0.011281013488769531,1.44%,33554560
197,decoder_1.upsample.batch_norm.batch_norm_l2l,"[ 48,256,256]","[ 48,256,256]",96,12.00,"12,582,912","6,291,456",12583296,12582912,0.0030965805053710938,0.40%,25166208
198,decoder_1.upsample.act_fn.relu_h2h,"[ 16,512,512]","[ 16,512,512]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0014433860778808594,0.18%,33554432
199,decoder_1.upsample.act_fn.relu_l2l,"[ 48,256,256]","[ 48,256,256]",0,12.00,"3,145,728","3,145,728",12582912,12582912,0.0006108283996582031,0.08%,25165824
200,decoder_1.oct_concat.concat,"[ 48,256,256]","[ 96,256,256]",0,24.00,0,0,0,0,0.01599884033203125,2.05%,0
201,decoder_1.double_conv.conv_block_1.conv.conv_h2h,"[ 32,512,512]","[ 16,512,512]",4624,16.00,"2,415,919,104","1,212,153,856",33572928,16777216,0.01137542724609375,1.45%,50350144
202,decoder_1.double_conv.conv_block_1.conv.conv_l2l,"[ 96,256,256]","[ 48,256,256]",41520,12.00,"5,435,817,984","2,721,054,720",25331904,12582912,0.016088485717773438,2.06%,37914816
203,decoder_1.double_conv.conv_block_1.conv.downsample_h2l,"[ 32,512,512]","[ 32,256,256]",0,8.00,"8,388,608","8,388,608",33554432,8388608,0.002203226089477539,0.28%,41943040
204,decoder_1.double_conv.conv_block_1.conv.conv_h2l,"[ 32,256,256]","[ 48,256,256]",13872,12.00,"1,811,939,328","909,115,392",8444096,12582912,0.011104345321655273,1.42%,21027008
205,decoder_1.double_conv.conv_block_1.conv.conv_l2h,"[ 96,256,256]","[ 16,256,256]",13840,4.00,"1,811,939,328","907,018,240",25221184,4194304,0.007332324981689453,0.94%,29415488
206,decoder_1.double_conv.conv_block_1.conv.upsample_l2h,"[ 16,256,256]","[ 16,512,512]",0,16.00,0,"262,144",0,0,0.019958972930908203,2.55%,0
207,decoder_1.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 16,512,512]","[ 16,512,512]",32,16.00,"16,777,216","8,388,608",16777344,16777216,0.011273384094238281,1.44%,33554560
208,decoder_1.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 48,256,256]","[ 48,256,256]",96,12.00,"12,582,912","6,291,456",12583296,12582912,0.0029730796813964844,0.38%,25166208
209,decoder_1.double_conv.conv_block_1.act_fn.relu_h2h,"[ 16,512,512]","[ 16,512,512]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0015256404876708984,0.20%,33554432
210,decoder_1.double_conv.conv_block_1.act_fn.relu_l2l,"[ 48,256,256]","[ 48,256,256]",0,12.00,"3,145,728","3,145,728",12582912,12582912,0.00044274330139160156,0.06%,25165824
211,decoder_1.double_conv.conv_block_2.conv.conv_h2h,"[ 16,512,512]","[ 16,512,512]",2320,16.00,"1,207,959,552","608,174,080",16786496,16777216,0.008843421936035156,1.13%,33563712
212,decoder_1.double_conv.conv_block_2.conv.conv_l2l,"[ 48,256,256]","[ 48,256,256]",20784,12.00,"2,717,908,992","1,362,100,224",12666048,12582912,0.010699987411499023,1.37%,25248960
213,decoder_1.double_conv.conv_block_2.conv.downsample_h2l,"[ 16,512,512]","[ 16,256,256]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0011048316955566406,0.14%,20971520
214,decoder_1.double_conv.conv_block_2.conv.conv_h2l,"[ 16,256,256]","[ 48,256,256]",6960,12.00,"905,969,664","456,130,560",4222144,12582912,0.005528926849365234,0.71%,16805056
215,decoder_1.double_conv.conv_block_2.conv.conv_l2h,"[ 48,256,256]","[ 16,256,256]",6928,4.00,"905,969,664","454,033,408",12610624,4194304,0.003477811813354492,0.44%,16804928
216,decoder_1.double_conv.conv_block_2.conv.upsample_l2h,"[ 16,256,256]","[ 16,512,512]",0,16.00,0,"262,144",0,0,0.01978158950805664,2.53%,0
217,decoder_1.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 16,512,512]","[ 16,512,512]",32,16.00,"16,777,216","8,388,608",16777344,16777216,0.011152505874633789,1.43%,33554560
218,decoder_1.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 48,256,256]","[ 48,256,256]",96,12.00,"12,582,912","6,291,456",12583296,12582912,0.0030601024627685547,0.39%,25166208
219,decoder_1.double_conv.conv_block_2.act_fn.relu_h2h,"[ 16,512,512]","[ 16,512,512]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.001447916030883789,0.19%,33554432
220,decoder_1.double_conv.conv_block_2.act_fn.relu_l2l,"[ 48,256,256]","[ 48,256,256]",0,12.00,"3,145,728","3,145,728",12582912,12582912,0.0005044937133789062,0.06%,25165824
221,decoder_0.conv_block.conv.conv_h2h,"[ 16,512,512]","[  1,512,512]",17,1.00,"8,388,608","4,456,448",16777284,1048576,0.004321575164794922,0.55%,17825860
222,decoder_0.conv_block.conv.conv_l2h,"[ 48,256,256]","[  1,256,256]",49,0.25,"6,291,456","3,211,264",12583108,262144,0.001954317092895508,0.25%,12845252
223,decoder_0.conv_block.conv.upsample_l2h,"[  1,256,256]","[  1,512,512]",0,1.00,0,"262,144",0,0,0.002008676528930664,0.26%,0
224,decoder_0.conv_block.batch_norm.batch_norm_h2h,"[  1,512,512]","[  1,512,512]",2,1.00,"1,048,576","524,288",1048584,1048576,0.0003452301025390625,0.04%,2097160
total, ,"[  3,512,512]","[  1,512,512]",16536516,1023.62,"79,667,462,144","39,968,360,448",1158893328,929693696,0.7822296619415283,100.00%,2088587024
