,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
0,encoder_0.double_conv.conv_block_1.conv.conv_h2h,"[  3,512,512]","[ 48,512,512]",1344,48.00,"679,477,248","352,321,536",3151104,50331648,0.023186206817626953,1.36%,53482752
1,encoder_0.double_conv.conv_block_1.conv.downsample_h2l,"[  3,512,512]","[  3,256,256]",0,0.75,"786,432","786,432",3145728,786432,0.0012555122375488281,0.07%,3932160
2,encoder_0.double_conv.conv_block_1.conv.conv_h2l,"[  3,256,256]","[ 16,256,256]",448,4.00,"56,623,104","29,360,128",788224,4194304,0.001875162124633789,0.11%,4982528
3,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 48,512,512]","[ 48,512,512]",96,48.00,"50,331,648","25,165,824",50332032,50331648,0.03751969337463379,2.21%,100663680
4,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 16,256,256]","[ 16,256,256]",32,4.00,"4,194,304","2,097,152",4194432,4194304,0.001219034194946289,0.07%,8388736
5,encoder_0.double_conv.conv_block_1.act_fn.relu_h2h,"[ 48,512,512]","[ 48,512,512]",0,48.00,"12,582,912","12,582,912",50331648,50331648,0.00406336784362793,0.24%,100663296
6,encoder_0.double_conv.conv_block_1.act_fn.relu_l2l,"[ 16,256,256]","[ 16,256,256]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0004975795745849609,0.03%,8388608
7,encoder_0.double_conv.conv_block_2.conv.conv_h2h,"[ 48,512,512]","[ 48,512,512]",20784,48.00,"10,871,635,968","5,448,400,896",50414784,50331648,0.04461503028869629,2.62%,100746432
8,encoder_0.double_conv.conv_block_2.conv.conv_l2l,"[ 16,256,256]","[ 16,256,256]",2320,4.00,"301,989,888","152,043,520",4203584,4194304,0.002782106399536133,0.16%,8397888
9,encoder_0.double_conv.conv_block_2.conv.downsample_h2l,"[ 48,512,512]","[ 48,256,256]",0,12.00,"12,582,912","12,582,912",50331648,12582912,0.0033936500549316406,0.20%,62914560
10,encoder_0.double_conv.conv_block_2.conv.conv_h2l,"[ 48,256,256]","[ 16,256,256]",6928,4.00,"905,969,664","454,033,408",12610624,4194304,0.004546165466308594,0.27%,16804928
11,encoder_0.double_conv.conv_block_2.conv.conv_l2h,"[ 16,256,256]","[ 48,256,256]",6960,12.00,"905,969,664","456,130,560",4222144,12582912,0.0054128170013427734,0.32%,16805056
12,encoder_0.double_conv.conv_block_2.conv.upsample_l2h,"[ 48,256,256]","[ 48,512,512]",0,48.00,0,"262,144",0,0,0.06589388847351074,3.87%,0
13,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 48,512,512]","[ 48,512,512]",96,48.00,"50,331,648","25,165,824",50332032,50331648,0.035593509674072266,2.09%,100663680
14,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 16,256,256]","[ 16,256,256]",32,4.00,"4,194,304","2,097,152",4194432,4194304,0.0011792182922363281,0.07%,8388736
15,encoder_0.double_conv.conv_block_2.act_fn.relu_h2h,"[ 48,512,512]","[ 48,512,512]",0,48.00,"12,582,912","12,582,912",50331648,50331648,0.003957033157348633,0.23%,100663296
16,encoder_0.double_conv.conv_block_2.act_fn.relu_l2l,"[ 16,256,256]","[ 16,256,256]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0002689361572265625,0.02%,8388608
17,encoder_1.downsample.avg_pool_h2h,"[ 48,512,512]","[ 48,256,256]",0,12.00,"12,582,912","12,582,912",50331648,12582912,0.0032656192779541016,0.19%,62914560
18,encoder_1.downsample.avg_pool_l2l,"[ 16,256,256]","[ 16,128,128]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.0002815723419189453,0.02%,5242880
