,sample_index,weighted_binary_cross_entropy,acc,se,sp,f1,prc,auroc,ap
0,0,0.2202804982662201,0.9605255126953125,0.8204644785328649,0.9742133782233278,0.7872707836526601,0.7566584999604837,0.9640109556110866,0.8117653491887424
1,1,0.19304591417312622,0.9633102416992188,0.791703869047619,0.9829170633841132,0.8156765044078191,0.8411462450592886,0.9638203408274728,0.8642324368222296
2,2,0.22220955789089203,0.9535064697265625,0.708750911953308,0.980504106293493,0.7517921146953405,0.8003989419366029,0.9400307824692063,0.8015301935333935
3,3,0.1973436176776886,0.9643936157226562,0.7588245088245088,0.9851335461112044,0.7961741712888152,0.8373909049150207,0.9365555848450503,0.8419751117398908
4,4,0.2053685486316681,0.96063232421875,0.7326680459210579,0.9842942739364949,0.7777873476594462,0.8288284154008536,0.9481165848557069,0.830554898503073
5,5,0.211991548538208,0.9570274353027344,0.7115987460815048,0.9834970248157414,0.7632657350005254,0.8230228869249944,0.9403945118491229,0.8193358097327543
6,6,0.20234975218772888,0.9620285034179688,0.7371516130368162,0.9848443467774803,0.7814900996619397,0.8315037137384967,0.9411657711519792,0.8361801201615738
7,7,0.21541740000247955,0.9599342346191406,0.7336194310489758,0.9812892156248826,0.7594751185105457,0.7872199012533232,0.940720189647944,0.8074266130974236
8,8,0.21462933719158173,0.9619293212890625,0.7482941979200979,0.9807756970937304,0.7611525942944668,0.7744606243607851,0.9416447060839199,0.8080392956319132
9,9,0.21410129964351654,0.9623680114746094,0.7914033457249071,0.9776580889686814,0.775422860655178,0.7600749765698219,0.9573590513912589,0.8222594032185132
10,10,0.2149030864238739,0.960174560546875,0.7765002564540947,0.9781736391509038,0.7767990764099714,0.7770981264436649,0.958182933100088,0.8236806427137207
11,11,0.20694659650325775,0.9632949829101562,0.7847877097445434,0.9801258155679025,0.7865288192749701,0.7882776715435585,0.9586380468856158,0.8353447214422158
12,12,0.2071201056241989,0.9594078063964844,0.7581529132817663,0.9813084507459278,0.7856840748424,0.8152900852700218,0.9513431121017453,0.8390626919026704
13,13,0.21448707580566406,0.9637565612792969,0.8081607795371498,0.9775496474223208,0.7840829034384019,0.7613982433684954,0.9638656370321733,0.8230726213746611
14,14,0.22949211299419403,0.9632911682128906,0.8197764586341516,0.9743145268951919,0.7611032496710608,0.7102678157724029,0.9605054033854132,0.799325842392199
15,15,0.20574866235256195,0.9632568359375,0.7877635526260194,0.9806731886093837,0.7947144075021313,0.801789016470993,0.9605847842486838,0.8391021835208713
16,16,0.2201356291770935,0.9604301452636719,0.7587926155504648,0.9791438254801339,0.7650988473470867,0.7715107782243332,0.9524764248107513,0.8038304101281988
17,17,0.22236225008964539,0.963531494140625,0.8271861555566298,0.9752129778801194,0.7816553992325964,0.7408754383686194,0.966188801831612,0.8119339478622842
18,18,0.1999122053384781,0.9674148559570312,0.8593878860075139,0.9772260088715785,0.8145301372242487,0.774122988031366,0.9725555538290183,0.8556049698824695
19,19,0.22803714871406555,0.9631843566894531,0.8386179072052966,0.9731025365407663,0.770634788601849,0.7128473443545551,0.9676776110927504,0.8024881770905505
