,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
0,encoder_0.double_conv.conv_block_1.conv.conv_h2h,"[  3,512,512]","[ 32,512,512]",896,32.00,"452,984,832","234,881,024",3149312,33554432,0.013007164001464844,1.26%,36703744
1,encoder_0.double_conv.conv_block_1.conv.downsample_h2l,"[  3,512,512]","[  3,256,256]",0,0.75,"786,432","786,432",3145728,786432,0.0011620521545410156,0.11%,3932160
2,encoder_0.double_conv.conv_block_1.conv.conv_h2l,"[  3,256,256]","[ 32,256,256]",896,8.00,"113,246,208","58,720,256",790016,8388608,0.0028069019317626953,0.27%,9178624
3,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 32,512,512]","[ 32,512,512]",64,32.00,"33,554,432","16,777,216",33554688,33554432,0.025223493576049805,2.44%,67109120
4,encoder_0.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 32,256,256]","[ 32,256,256]",64,8.00,"8,388,608","4,194,304",8388864,8388608,0.006263256072998047,0.61%,16777472
5,encoder_0.double_conv.conv_block_1.act_fn.relu_h2h,"[ 32,512,512]","[ 32,512,512]",0,32.00,"8,388,608","8,388,608",33554432,33554432,0.0028333663940429688,0.27%,67108864
6,encoder_0.double_conv.conv_block_1.act_fn.relu_l2l,"[ 32,256,256]","[ 32,256,256]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0007855892181396484,0.08%,16777216
7,encoder_0.double_conv.conv_block_2.conv.conv_h2h,"[ 32,512,512]","[ 32,512,512]",9248,32.00,"4,831,838,208","2,424,307,712",33591424,33554432,0.022499799728393555,2.17%,67145856
8,encoder_0.double_conv.conv_block_2.conv.conv_l2l,"[ 32,256,256]","[ 32,256,256]",9248,8.00,"1,207,959,552","606,076,928",8425600,8388608,0.004365682601928711,0.42%,16814208
9,encoder_0.double_conv.conv_block_2.conv.downsample_h2l,"[ 32,512,512]","[ 32,256,256]",0,8.00,"8,388,608","8,388,608",33554432,8388608,0.0022673606872558594,0.22%,41943040
10,encoder_0.double_conv.conv_block_2.conv.conv_h2l,"[ 32,256,256]","[ 32,256,256]",9248,8.00,"1,207,959,552","606,076,928",8425600,8388608,0.0054473876953125,0.53%,16814208
11,encoder_0.double_conv.conv_block_2.conv.conv_l2h,"[ 32,256,256]","[ 32,256,256]",9248,8.00,"1,207,959,552","606,076,928",8425600,8388608,0.004216194152832031,0.41%,16814208
12,encoder_0.double_conv.conv_block_2.conv.upsample_l2h,"[ 32,256,256]","[ 32,512,512]",0,32.00,0,"262,144",0,0,0.044928789138793945,4.34%,0
13,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 32,512,512]","[ 32,512,512]",64,32.00,"33,554,432","16,777,216",33554688,33554432,0.023520946502685547,2.27%,67109120
14,encoder_0.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 32,256,256]","[ 32,256,256]",64,8.00,"8,388,608","4,194,304",8388864,8388608,0.006176471710205078,0.60%,16777472
15,encoder_0.double_conv.conv_block_2.act_fn.relu_h2h,"[ 32,512,512]","[ 32,512,512]",0,32.00,"8,388,608","8,388,608",33554432,33554432,0.002713441848754883,0.26%,67108864
16,encoder_0.double_conv.conv_block_2.act_fn.relu_l2l,"[ 32,256,256]","[ 32,256,256]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0008046627044677734,0.08%,16777216
17,encoder_1.downsample.avg_pool_h2h,"[ 32,512,512]","[ 32,256,256]",0,8.00,"8,388,608","8,388,608",33554432,8388608,0.0022923946380615234,0.22%,41943040
18,encoder_1.downsample.avg_pool_l2l,"[ 32,256,256]","[ 32,128,128]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0004885196685791016,0.05%,10485760
19,encoder_1.double_conv.conv_block_1.conv.conv_h2h,"[ 32,256,256]","[ 64,256,256]",18496,16.00,"2,415,919,104","1,212,153,856",8462592,16777216,0.011268138885498047,1.09%,25239808
20,encoder_1.double_conv.conv_block_1.conv.conv_l2l,"[ 32,128,128]","[ 64,128,128]",18496,4.00,"603,979,776","303,038,464",2171136,4194304,0.0020220279693603516,0.20%,6365440
21,encoder_1.double_conv.conv_block_1.conv.downsample_h2l,"[ 32,256,256]","[ 32,128,128]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0005266666412353516,0.05%,10485760
22,encoder_1.double_conv.conv_block_1.conv.conv_h2l,"[ 32,128,128]","[ 64,128,128]",18496,4.00,"603,979,776","303,038,464",2171136,4194304,0.0033423900604248047,0.32%,6365440
23,encoder_1.double_conv.conv_block_1.conv.conv_l2h,"[ 32,128,128]","[ 64,128,128]",18496,4.00,"603,979,776","303,038,464",2171136,4194304,0.0019526481628417969,0.19%,6365440
24,encoder_1.double_conv.conv_block_1.conv.upsample_l2h,"[ 64,128,128]","[ 64,256,256]",0,16.00,0,"65,536",0,0,0.02163863182067871,2.09%,0
25,encoder_1.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[ 64,256,256]","[ 64,256,256]",128,16.00,"16,777,216","8,388,608",16777728,16777216,0.012526750564575195,1.21%,33554944
26,encoder_1.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[ 64,128,128]","[ 64,128,128]",128,4.00,"4,194,304","2,097,152",4194816,4194304,0.0012569427490234375,0.12%,8389120
27,encoder_1.double_conv.conv_block_1.act_fn.relu_h2h,"[ 64,256,256]","[ 64,256,256]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0014233589172363281,0.14%,33554432
28,encoder_1.double_conv.conv_block_1.act_fn.relu_l2l,"[ 64,128,128]","[ 64,128,128]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00021982192993164062,0.02%,8388608
29,encoder_1.double_conv.conv_block_2.conv.conv_h2h,"[ 64,256,256]","[ 64,256,256]",36928,16.00,"4,831,838,208","2,420,113,408",16924928,16777216,0.01532602310180664,1.48%,33702144
30,encoder_1.double_conv.conv_block_2.conv.conv_l2l,"[ 64,128,128]","[ 64,128,128]",36928,4.00,"1,207,959,552","605,028,352",4342016,4194304,0.0035119056701660156,0.34%,8536320
