,module name,input shape,output shape,params,memory(MB),MAdd,FLOPs,MemRead(B),MemWrite(B),duration(s),duration[%],MemR+W(B)
31,encoder_1.double_conv.conv_block_2.conv.downsample_h2l,"[ 64,256,256]","[ 64,128,128]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0010554790496826172,0.10%,20971520
32,encoder_1.double_conv.conv_block_2.conv.conv_h2l,"[ 64,128,128]","[ 64,128,128]",36928,4.00,"1,207,959,552","605,028,352",4342016,4194304,0.004469394683837891,0.43%,8536320
33,encoder_1.double_conv.conv_block_2.conv.conv_l2h,"[ 64,128,128]","[ 64,128,128]",36928,4.00,"1,207,959,552","605,028,352",4342016,4194304,0.0034046173095703125,0.33%,8536320
34,encoder_1.double_conv.conv_block_2.conv.upsample_l2h,"[ 64,128,128]","[ 64,256,256]",0,16.00,0,"65,536",0,0,0.018096446990966797,1.75%,0
35,encoder_1.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[ 64,256,256]","[ 64,256,256]",128,16.00,"16,777,216","8,388,608",16777728,16777216,0.011312723159790039,1.09%,33554944
36,encoder_1.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[ 64,128,128]","[ 64,128,128]",128,4.00,"4,194,304","2,097,152",4194816,4194304,0.0009932518005371094,0.10%,8389120
37,encoder_1.double_conv.conv_block_2.act_fn.relu_h2h,"[ 64,256,256]","[ 64,256,256]",0,16.00,"4,194,304","4,194,304",16777216,16777216,0.0013766288757324219,0.13%,33554432
38,encoder_1.double_conv.conv_block_2.act_fn.relu_l2l,"[ 64,128,128]","[ 64,128,128]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00016880035400390625,0.02%,8388608
39,encoder_2.downsample.avg_pool_h2h,"[ 64,256,256]","[ 64,128,128]",0,4.00,"4,194,304","4,194,304",16777216,4194304,0.0006482601165771484,0.06%,20971520
40,encoder_2.downsample.avg_pool_l2l,"[ 64,128,128]","[ 64, 64, 64]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.000213623046875,0.02%,5242880
41,encoder_2.double_conv.conv_block_1.conv.conv_h2h,"[ 64,128,128]","[128,128,128]",73856,8.00,"2,415,919,104","1,210,056,704",4489728,8388608,0.004781484603881836,0.46%,12878336
42,encoder_2.double_conv.conv_block_1.conv.conv_l2l,"[ 64, 64, 64]","[128, 64, 64]",73856,2.00,"603,979,776","302,514,176",1344000,2097152,0.0011136531829833984,0.11%,3441152
43,encoder_2.double_conv.conv_block_1.conv.downsample_h2l,"[ 64,128,128]","[ 64, 64, 64]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.0001976490020751953,0.02%,5242880
44,encoder_2.double_conv.conv_block_1.conv.conv_h2l,"[ 64, 64, 64]","[128, 64, 64]",73856,2.00,"603,979,776","302,514,176",1344000,2097152,0.0019388198852539062,0.19%,3441152
45,encoder_2.double_conv.conv_block_1.conv.conv_l2h,"[ 64, 64, 64]","[128, 64, 64]",73856,2.00,"603,979,776","302,514,176",1344000,2097152,0.001129150390625,0.11%,3441152
46,encoder_2.double_conv.conv_block_1.conv.upsample_l2h,"[128, 64, 64]","[128,128,128]",0,8.00,0,"16,384",0,0,0.011002063751220703,1.06%,0
47,encoder_2.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[128,128,128]","[128,128,128]",256,8.00,"8,388,608","4,194,304",8389632,8388608,0.0020029544830322266,0.19%,16778240
48,encoder_2.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[128, 64, 64]","[128, 64, 64]",256,2.00,"2,097,152","1,048,576",2098176,2097152,0.0005271434783935547,0.05%,4195328
49,encoder_2.double_conv.conv_block_1.act_fn.relu_h2h,"[128,128,128]","[128,128,128]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0007314682006835938,0.07%,16777216
50,encoder_2.double_conv.conv_block_1.act_fn.relu_l2l,"[128, 64, 64]","[128, 64, 64]",0,2.00,"524,288","524,288",2097152,2097152,8.249282836914062e-05,0.01%,4194304
51,encoder_2.double_conv.conv_block_2.conv.conv_h2h,"[128,128,128]","[128,128,128]",147584,8.00,"4,831,838,208","2,418,016,256",8978944,8388608,0.008080482482910156,0.78%,17367552
52,encoder_2.double_conv.conv_block_2.conv.conv_l2l,"[128, 64, 64]","[128, 64, 64]",147584,2.00,"1,207,959,552","604,504,064",2687488,2097152,0.0018689632415771484,0.18%,4784640
53,encoder_2.double_conv.conv_block_2.conv.downsample_h2l,"[128,128,128]","[128, 64, 64]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0003261566162109375,0.03%,10485760
54,encoder_2.double_conv.conv_block_2.conv.conv_h2l,"[128, 64, 64]","[128, 64, 64]",147584,2.00,"1,207,959,552","604,504,064",2687488,2097152,0.002399444580078125,0.23%,4784640
55,encoder_2.double_conv.conv_block_2.conv.conv_l2h,"[128, 64, 64]","[128, 64, 64]",147584,2.00,"1,207,959,552","604,504,064",2687488,2097152,0.0018045902252197266,0.17%,4784640
56,encoder_2.double_conv.conv_block_2.conv.upsample_l2h,"[128, 64, 64]","[128,128,128]",0,8.00,0,"16,384",0,0,0.01149296760559082,1.11%,0
57,encoder_2.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[128,128,128]","[128,128,128]",256,8.00,"8,388,608","4,194,304",8389632,8388608,0.0056688785552978516,0.55%,16778240
58,encoder_2.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[128, 64, 64]","[128, 64, 64]",256,2.00,"2,097,152","1,048,576",2098176,2097152,0.0005729198455810547,0.06%,4195328
59,encoder_2.double_conv.conv_block_2.act_fn.relu_h2h,"[128,128,128]","[128,128,128]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0007162094116210938,0.07%,16777216
60,encoder_2.double_conv.conv_block_2.act_fn.relu_l2l,"[128, 64, 64]","[128, 64, 64]",0,2.00,"524,288","524,288",2097152,2097152,0.00011491775512695312,0.01%,4194304
61,encoder_3.downsample.avg_pool_h2h,"[128,128,128]","[128, 64, 64]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.00029277801513671875,0.03%,10485760
62,encoder_3.downsample.avg_pool_l2l,"[128, 64, 64]","[128, 32, 32]",0,0.50,"524,288","524,288",2097152,524288,0.00011706352233886719,0.01%,2621440
63,encoder_3.double_conv.conv_block_1.conv.conv_h2h,"[128, 64, 64]","[256, 64, 64]",295168,4.00,"2,415,919,104","1,209,008,128",3277824,4194304,0.003906965255737305,0.38%,7472128
64,encoder_3.double_conv.conv_block_1.conv.conv_l2l,"[128, 32, 32]","[256, 32, 32]",295168,1.00,"603,979,776","302,252,032",1704960,1048576,0.0010898113250732422,0.11%,2753536
65,encoder_3.double_conv.conv_block_1.conv.downsample_h2l,"[128, 64, 64]","[128, 32, 32]",0,0.50,"524,288","524,288",2097152,524288,0.00010943412780761719,0.01%,2621440
66,encoder_3.double_conv.conv_block_1.conv.conv_h2l,"[128, 32, 32]","[256, 32, 32]",295168,1.00,"603,979,776","302,252,032",1704960,1048576,0.0016841888427734375,0.16%,2753536
67,encoder_3.double_conv.conv_block_1.conv.conv_l2h,"[128, 32, 32]","[256, 32, 32]",295168,1.00,"603,979,776","302,252,032",1704960,1048576,0.0009915828704833984,0.10%,2753536
68,encoder_3.double_conv.conv_block_1.conv.upsample_l2h,"[256, 32, 32]","[256, 64, 64]",0,4.00,0,"4,096",0,0,0.007751941680908203,0.75%,0
69,encoder_3.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[256, 64, 64]","[256, 64, 64]",512,4.00,"4,194,304","2,097,152",4196352,4194304,0.0011203289031982422,0.11%,8390656
70,encoder_3.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[256, 32, 32]","[256, 32, 32]",512,1.00,"1,048,576","524,288",1050624,1048576,0.00029087066650390625,0.03%,2099200
71,encoder_3.double_conv.conv_block_1.act_fn.relu_h2h,"[256, 64, 64]","[256, 64, 64]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00017952919006347656,0.02%,8388608
72,encoder_3.double_conv.conv_block_1.act_fn.relu_l2l,"[256, 32, 32]","[256, 32, 32]",0,1.00,"262,144","262,144",1048576,1048576,4.5299530029296875e-05,0.00%,2097152
73,encoder_3.double_conv.conv_block_2.conv.conv_h2h,"[256, 64, 64]","[256, 64, 64]",590080,4.00,"4,831,838,208","2,416,967,680",6554624,4194304,0.00721430778503418,0.70%,10748928
74,encoder_3.double_conv.conv_block_2.conv.conv_l2l,"[256, 32, 32]","[256, 32, 32]",590080,1.00,"1,207,959,552","604,241,920",3408896,1048576,0.001749277114868164,0.17%,4457472
75,encoder_3.double_conv.conv_block_2.conv.downsample_h2l,"[256, 64, 64]","[256, 32, 32]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.00016570091247558594,0.02%,5242880
76,encoder_3.double_conv.conv_block_2.conv.conv_h2l,"[256, 32, 32]","[256, 32, 32]",590080,1.00,"1,207,959,552","604,241,920",3408896,1048576,0.0022094249725341797,0.21%,4457472
77,encoder_3.double_conv.conv_block_2.conv.conv_l2h,"[256, 32, 32]","[256, 32, 32]",590080,1.00,"1,207,959,552","604,241,920",3408896,1048576,0.0017096996307373047,0.17%,4457472
78,encoder_3.double_conv.conv_block_2.conv.upsample_l2h,"[256, 32, 32]","[256, 64, 64]",0,4.00,0,"4,096",0,0,0.007718324661254883,0.75%,0
79,encoder_3.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[256, 64, 64]","[256, 64, 64]",512,4.00,"4,194,304","2,097,152",4196352,4194304,0.002913951873779297,0.28%,8390656
80,encoder_3.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[256, 32, 32]","[256, 32, 32]",512,1.00,"1,048,576","524,288",1050624,1048576,0.00029754638671875,0.03%,2099200
81,encoder_3.double_conv.conv_block_2.act_fn.relu_h2h,"[256, 64, 64]","[256, 64, 64]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.0004813671112060547,0.05%,8388608
82,encoder_3.double_conv.conv_block_2.act_fn.relu_l2l,"[256, 32, 32]","[256, 32, 32]",0,1.00,"262,144","262,144",1048576,1048576,6.103515625e-05,0.01%,2097152
83,encoder_4.downsample.avg_pool_h2h,"[256, 64, 64]","[256, 32, 32]",0,1.00,"1,048,576","1,048,576",4194304,1048576,0.0001552104949951172,0.01%,5242880
84,encoder_4.downsample.avg_pool_l2l,"[256, 32, 32]","[256, 16, 16]",0,0.25,"262,144","262,144",1048576,262144,5.6743621826171875e-05,0.01%,1310720
85,encoder_4.double_conv.conv_block_1.conv.conv_h2h,"[256, 32, 32]","[256, 32, 32]",590080,1.00,"1,207,959,552","604,241,920",3408896,1048576,0.0017173290252685547,0.17%,4457472
86,encoder_4.double_conv.conv_block_1.conv.conv_l2l,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0006997585296630859,0.07%,2884608
87,encoder_4.double_conv.conv_block_1.conv.downsample_h2l,"[256, 32, 32]","[256, 16, 16]",0,0.25,"262,144","262,144",1048576,262144,9.34600830078125e-05,0.01%,1310720
88,encoder_4.double_conv.conv_block_1.conv.conv_h2l,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0010838508605957031,0.10%,2884608
89,encoder_4.double_conv.conv_block_1.conv.conv_l2h,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0005838871002197266,0.06%,2884608
90,encoder_4.double_conv.conv_block_1.conv.upsample_l2h,"[256, 16, 16]","[256, 32, 32]",0,1.00,0,"1,024",0,0,0.0016684532165527344,0.16%,0
91,encoder_4.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[256, 32, 32]","[256, 32, 32]",512,1.00,"1,048,576","524,288",1050624,1048576,0.0003104209899902344,0.03%,2099200
92,encoder_4.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[256, 16, 16]","[256, 16, 16]",512,0.25,"262,144","131,072",264192,262144,0.00011372566223144531,0.01%,526336
93,encoder_4.double_conv.conv_block_1.act_fn.relu_h2h,"[256, 32, 32]","[256, 32, 32]",0,1.00,"262,144","262,144",1048576,1048576,6.818771362304688e-05,0.01%,2097152
94,encoder_4.double_conv.conv_block_1.act_fn.relu_l2l,"[256, 16, 16]","[256, 16, 16]",0,0.25,"65,536","65,536",262144,262144,3.5762786865234375e-05,0.00%,524288
95,encoder_4.double_conv.conv_block_2.conv.conv_h2h,"[256, 32, 32]","[256, 32, 32]",590080,1.00,"1,207,959,552","604,241,920",3408896,1048576,0.0016705989837646484,0.16%,4457472
96,encoder_4.double_conv.conv_block_2.conv.conv_l2l,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0005869865417480469,0.06%,2884608
97,encoder_4.double_conv.conv_block_2.conv.downsample_h2l,"[256, 32, 32]","[256, 16, 16]",0,0.25,"262,144","262,144",1048576,262144,9.083747863769531e-05,0.01%,1310720
98,encoder_4.double_conv.conv_block_2.conv.conv_h2l,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0006122589111328125,0.06%,2884608
99,encoder_4.double_conv.conv_block_2.conv.conv_l2h,"[256, 16, 16]","[256, 16, 16]",590080,0.25,"301,989,888","151,060,480",2622464,262144,0.0005826950073242188,0.06%,2884608
100,encoder_4.double_conv.conv_block_2.conv.upsample_l2h,"[256, 16, 16]","[256, 32, 32]",0,1.00,0,"1,024",0,0,0.002311229705810547,0.22%,0
101,encoder_4.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[256, 32, 32]","[256, 32, 32]",512,1.00,"1,048,576","524,288",1050624,1048576,0.0003287792205810547,0.03%,2099200
102,encoder_4.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[256, 16, 16]","[256, 16, 16]",512,0.25,"262,144","131,072",264192,262144,0.00011682510375976562,0.01%,526336
103,encoder_4.double_conv.conv_block_2.act_fn.relu_h2h,"[256, 32, 32]","[256, 32, 32]",0,1.00,"262,144","262,144",1048576,1048576,7.939338684082031e-05,0.01%,2097152
104,encoder_4.double_conv.conv_block_2.act_fn.relu_l2l,"[256, 16, 16]","[256, 16, 16]",0,0.25,"65,536","65,536",262144,262144,3.24249267578125e-05,0.00%,524288
105,decoder_4.upsample.conv_transp.conv_transposed_h2h,"[256, 32, 32]","[256, 64, 64]",590080,4.00,"1,207,959,552","604,241,920",3408896,4194304,0.009851932525634766,0.95%,7603200
106,decoder_4.upsample.conv_transp.conv_transposed_l2l,"[256, 16, 16]","[256, 32, 32]",590080,1.00,"301,989,888","151,060,480",2622464,1048576,0.001996755599975586,0.19%,3671040
107,decoder_4.upsample.conv_transp.conv_transposed_h2l,"[256, 16, 16]","[256, 32, 32]",590080,1.00,"301,989,888","151,060,480",2622464,1048576,0.0024933815002441406,0.24%,3671040
108,decoder_4.upsample.conv_transp.conv_transposed_l2h,"[256, 16, 16]","[256, 32, 32]",590080,1.00,"301,989,888","151,060,480",2622464,1048576,0.0019037723541259766,0.18%,3671040
109,decoder_4.upsample.batch_norm.batch_norm_h2h,"[256, 64, 64]","[256, 64, 64]",512,4.00,"4,194,304","2,097,152",4196352,4194304,0.0029425621032714844,0.28%,8390656
110,decoder_4.upsample.batch_norm.batch_norm_l2l,"[256, 32, 32]","[256, 32, 32]",512,1.00,"1,048,576","524,288",1050624,1048576,0.0003037452697753906,0.03%,2099200
111,decoder_4.upsample.act_fn.relu_h2h,"[256, 64, 64]","[256, 64, 64]",0,4.00,"1,048,576","1,048,576",4194304,4194304,0.00047898292541503906,0.05%,8388608
112,decoder_4.upsample.act_fn.relu_l2l,"[256, 32, 32]","[256, 32, 32]",0,1.00,"262,144","262,144",1048576,1048576,6.198883056640625e-05,0.01%,2097152
113,decoder_4.oct_concat.concat,"[256, 32, 32]","[512, 32, 32]",0,2.00,0,0,0,0,0.0005435943603515625,0.05%,0
114,decoder_4.double_conv.conv_block_1.conv.conv_h2h,"[512, 64, 64]","[128, 64, 64]",589952,2.00,"4,831,838,208","2,416,443,392",10748416,2097152,0.006865978240966797,0.66%,12845568
115,decoder_4.double_conv.conv_block_1.conv.conv_l2l,"[512, 32, 32]","[128, 32, 32]",589952,0.50,"1,207,959,552","604,110,848",4456960,524288,0.0018918514251708984,0.18%,4981248
116,decoder_4.double_conv.conv_block_1.conv.downsample_h2l,"[512, 64, 64]","[512, 32, 32]",0,2.00,"2,097,152","2,097,152",8388608,2097152,0.0003275871276855469,0.03%,10485760
117,decoder_4.double_conv.conv_block_1.conv.conv_h2l,"[512, 32, 32]","[128, 32, 32]",589952,0.50,"1,207,959,552","604,110,848",4456960,524288,0.0024890899658203125,0.24%,4981248
118,decoder_4.double_conv.conv_block_1.conv.conv_l2h,"[512, 32, 32]","[128, 32, 32]",589952,0.50,"1,207,959,552","604,110,848",4456960,524288,0.0018410682678222656,0.18%,4981248
119,decoder_4.double_conv.conv_block_1.conv.upsample_l2h,"[128, 32, 32]","[128, 64, 64]",0,2.00,0,"4,096",0,0,0.0029129981994628906,0.28%,0
120,decoder_4.double_conv.conv_block_1.batch_norm.batch_norm_h2h,"[128, 64, 64]","[128, 64, 64]",256,2.00,"2,097,152","1,048,576",2098176,2097152,0.0015265941619873047,0.15%,4195328
121,decoder_4.double_conv.conv_block_1.batch_norm.batch_norm_l2l,"[128, 32, 32]","[128, 32, 32]",256,0.50,"524,288","262,144",525312,524288,0.0001747608184814453,0.02%,1049600
122,decoder_4.double_conv.conv_block_1.act_fn.relu_h2h,"[128, 64, 64]","[128, 64, 64]",0,2.00,"524,288","524,288",2097152,2097152,0.00037288665771484375,0.04%,4194304
123,decoder_4.double_conv.conv_block_1.act_fn.relu_l2l,"[128, 32, 32]","[128, 32, 32]",0,0.50,"131,072","131,072",524288,524288,4.3392181396484375e-05,0.00%,1048576
124,decoder_4.double_conv.conv_block_2.conv.conv_h2h,"[128, 64, 64]","[128, 64, 64]",147584,2.00,"1,207,959,552","604,504,064",2687488,2097152,0.0022351741790771484,0.22%,4784640
125,decoder_4.double_conv.conv_block_2.conv.conv_l2l,"[128, 32, 32]","[128, 32, 32]",147584,0.50,"301,989,888","151,126,016",1114624,524288,0.0006282329559326172,0.06%,1638912
126,decoder_4.double_conv.conv_block_2.conv.downsample_h2l,"[128, 64, 64]","[128, 32, 32]",0,0.50,"524,288","524,288",2097152,524288,0.00010561943054199219,0.01%,2621440
127,decoder_4.double_conv.conv_block_2.conv.conv_h2l,"[128, 32, 32]","[128, 32, 32]",147584,0.50,"301,989,888","151,126,016",1114624,524288,0.0012087821960449219,0.12%,1638912
128,decoder_4.double_conv.conv_block_2.conv.conv_l2h,"[128, 32, 32]","[128, 32, 32]",147584,0.50,"301,989,888","151,126,016",1114624,524288,0.0006275177001953125,0.06%,1638912
129,decoder_4.double_conv.conv_block_2.conv.upsample_l2h,"[128, 32, 32]","[128, 64, 64]",0,2.00,0,"4,096",0,0,0.003262758255004883,0.32%,0
130,decoder_4.double_conv.conv_block_2.batch_norm.batch_norm_h2h,"[128, 64, 64]","[128, 64, 64]",256,2.00,"2,097,152","1,048,576",2098176,2097152,0.0015146732330322266,0.15%,4195328
131,decoder_4.double_conv.conv_block_2.batch_norm.batch_norm_l2l,"[128, 32, 32]","[128, 32, 32]",256,0.50,"524,288","262,144",525312,524288,0.0001709461212158203,0.02%,1049600
132,decoder_4.double_conv.conv_block_2.act_fn.relu_h2h,"[128, 64, 64]","[128, 64, 64]",0,2.00,"524,288","524,288",2097152,2097152,0.00036406517028808594,0.04%,4194304
133,decoder_4.double_conv.conv_block_2.act_fn.relu_l2l,"[128, 32, 32]","[128, 32, 32]",0,0.50,"131,072","131,072",524288,524288,4.38690185546875e-05,0.00%,1048576
134,decoder_3.upsample.conv_transp.conv_transposed_h2h,"[128, 64, 64]","[128,128,128]",147584,8.00,"1,207,959,552","604,504,064",2687488,8388608,0.017992019653320312,1.74%,11076096
135,decoder_3.upsample.conv_transp.conv_transposed_l2l,"[128, 32, 32]","[128, 64, 64]",147584,2.00,"301,989,888","151,126,016",1114624,2097152,0.003029346466064453,0.29%,3211776
136,decoder_3.upsample.conv_transp.conv_transposed_h2l,"[128, 32, 32]","[128, 64, 64]",147584,2.00,"301,989,888","151,126,016",1114624,2097152,0.004362344741821289,0.42%,3211776
137,decoder_3.upsample.conv_transp.conv_transposed_l2h,"[128, 32, 32]","[128, 64, 64]",147584,2.00,"301,989,888","151,126,016",1114624,2097152,0.0030617713928222656,0.30%,3211776
138,decoder_3.upsample.batch_norm.batch_norm_h2h,"[128,128,128]","[128,128,128]",256,8.00,"8,388,608","4,194,304",8389632,8388608,0.0056116580963134766,0.54%,16778240
139,decoder_3.upsample.batch_norm.batch_norm_l2l,"[128, 64, 64]","[128, 64, 64]",256,2.00,"2,097,152","1,048,576",2098176,2097152,0.0005180835723876953,0.05%,4195328
140,decoder_3.upsample.act_fn.relu_h2h,"[128,128,128]","[128,128,128]",0,8.00,"2,097,152","2,097,152",8388608,8388608,0.0007524490356445312,0.07%,16777216
141,decoder_3.upsample.act_fn.relu_l2l,"[128, 64, 64]","[128, 64, 64]",0,2.00,"524,288","524,288",2097152,2097152,9.298324584960938e-05,0.01%,4194304
142,decoder_3.oct_concat.concat,"[128, 64, 64]","[256, 64, 64]",0,4.00,0,0,0,0,0.0010471343994140625,0.10%,0
143,decoder_3.double_conv.conv_block_1.conv.conv_h2h,"[256,128,128]","[ 64,128,128]",147520,4.00,"4,831,838,208","2,416,967,680",17367296,4194304,0.008266210556030273,0.80%,21561600
